Date,Website,Ad Provider Account,Ad Size,Ad Tag Id,Ad Tag,Tag Type,Impressions,Revenue (USD),eCpm (USD),Admeld Impressions,Passbacks,Order Id,Custom Field
2011-10-20,msposrxshb.com,MediaMath (RTB),728x90,5695500,Buy Tag - name(MediaMath 728x90) size(728x90) site(1242),RTB,2,0,0.21,2,0,,
2011-10-20,rfgkvfknom.com,The Trade Desk (RTB),300x250,2851100,Buy Tag - name(Trade Desk 300x250) size(300x250) site(1250),RTB,1,0,0.18,1,0,,
2011-10-20,axxiuzsydh.com,Yahoo RTB (RTB),300x250,15457564,Buy Tag - name(Yahoo 300x250) size(300x250) site(1237),RTB,50,0.02,0.46,50,0,,
2011-10-20,wgrwijbosb.com,DataXu (RTB),728x90,4668253,Buy Tag - name(DataXu 728x90) size(728x90) site(1248),RTB,1,0,0.39,1,0,,
2011-10-20,jeepknkhlv.com,CPM Only (AEM),728x90,14989213,Buy Tag - name(aa_CPMonly_US_RON_9.20.11_728) size(728x90) site(1230),AEM,1,0,0.13,1,0,,
2011-10-20,AEMdemo,Darriens network (AEM),160x600,15118797,Buy Tag - name(aa_Darriens_Sweden_RS_160) size(160x600) site(978),AEM,1268,0.11,0.09,1268,0,,
2011-10-20,itqmduyvkb.com,ValueClick RTB (RTB),728x90,10906446,Buy Tag - name(ValueClick RTB 728x90) size(728x90) site(1232),RTB,1,0,0.06,1,0,,
2011-10-20,jeepknkhlv.com,Banner Connect (AEM),728x90,16845743,Buy Tag - name(aa_BannerConnect_US_APNBackfill_728x90) size(728x90) site(1230),AEM,5,0,0.06,5,0,,
2011-10-20,AEM,Darriens network (AEM),160x600,15118992,Buy Tag - name(aa_Darriens_Sweden_RS_160) size(160x600) site(494),AEM,29,0,0.09,29,0,,
2011-10-20,jeepknkhlv.com,ValueClick RTB (RTB),300x250,10904912,Buy Tag - name(ValueClick RTB 300x250) size(300x250) site(1230),RTB,23,0.01,0.23,23,0,,
2011-10-20,axxiuzsydh.com,RadiumOne (RTB),728x90,11206304,Buy Tag - name(RadiumOne 728x90) size(728x90) site(1237),RTB,2,0,1.61,2,0,,
2011-10-20,AEM,DSNR (AEM),300x250,9592497,Buy Tag - name(aa_DSNR_IT_RevShare_6.14.11_300) size(300x250) site(494),AEM,3,0,0.05,3,0,,
2011-10-20,ghhiegwcqz.com,Yahoo RTB (RTB),728x90,15456641,Buy Tag - name(Yahoo 728x90) size(728x90) site(1239),RTB,6,0,0.42,6,0,,
2011-10-20,jeepknkhlv.com,ValueClick RTB (RTB),160x600,10903105,Buy Tag - name(ValueClick RTB 160x600) size(160x600) site(1230),RTB,5,0,0.09,5,0,,
2011-10-20,jeepknkhlv.com,Meta Network (AEM),300x250,10825378,Buy Tag - name(aa_MetaNetwork_US_Fixed_7.18.11_300x250) size(300x250) site(1230),AEM,2,0,0.05,2,0,,
2011-10-20,rfgkvfknom.com,Yahoo! Network (AEM),728x90,3085282,Buy Tag - name(yahoo_roam_12.23.10_728x90) size(728x90) site(1250),AEM,12,0,0.17,12,0,,
2011-10-20,ghhiegwcqz.com,Yahoo RTB (RTB),300x250,15452962,Buy Tag - name(Yahoo 300x250) size(300x250) site(1239),RTB,10,0,0.44,10,0,,
2011-10-20,gomez,Yahoo RTB (RTB),300x250,15453378,Buy Tag - name(Yahoo 300x250) size(300x250) site(427),RTB,208,0.16,0.79,208,0,,
2011-10-20,AEM,Microsoft France (AEM),160x600,6838707,Buy Tag - name(aa_MicrosoftFR_7030_160x600) size(160x600) site(494),AEM,1,0,0.41,1,0,,
2011-10-20,AEM,Darriens network (AEM),300x250,13334755,Buy Tag - name(aa_Darriens_US_RS_300) size(300x250) site(494),AEM,213,0.01,0.05,213,0,,
2011-10-20,itqmduyvkb.com,Yahoo RTB (RTB),728x90,15457396,Buy Tag - name(Yahoo 728x90) size(728x90) site(1232),RTB,3,0,0.25,3,0,,
2011-10-20,jeepknkhlv.com,Yahoo RTB (RTB),728x90,15458500,Buy Tag - name(Yahoo 728x90) size(728x90) site(1230),RTB,13,0,0.33,13,0,,
2011-10-20,AEM,Microsoft France (AEM),160x600,6828788,Buy Tag - name(aa_MicrosoftFR_5050_160x600) size(160x600) site(494),AEM,4,0,0.17,4,0,,
2011-10-20,rfgkvfknom.com,Yahoo RTB (RTB),728x90,15451909,Buy Tag - name(Yahoo 728x90) size(728x90) site(1250),RTB,1,0,0.11,1,0,,
2011-10-20,AEM,Microsoft France (AEM),300x250,17467013,Buy Tag - name(MicrosoftFR_ROW_300x250) size(300x250) site(494),AEM,7,0,0.22,7,0,,
2011-10-20,jhtayqlgcq.com,Rocket Fuel (RTB),300x250,11815926,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(1246),RTB,1,0,1.36,1,0,,
2011-10-20,dkchvzpvpi.com,Yahoo RTB (RTB),728x90,15457655,Buy Tag - name(Yahoo 728x90) size(728x90) site(1234),RTB,4,0,0.28,4,0,,
2011-10-20,axxiuzsydh.com,AdBlade (AEM),300x250,15188503,Buy Tag - name(Adblade_HoverTarget_300x250) size(300x250) site(1237),AEM,1,0,0.12,1,0,,
2011-10-20,ktflbecrqr.com,DSNR (AEM),300x250,10206860,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_300) size(300x250) site(1241),AEM,2,0,0.01,2,0,,
2011-10-20,axxiuzsydh.com,Yahoo! Network (AEM),300x250,3085564,Buy Tag - name(yahoo_roam_12.23.10_300x250) size(300x250) site(1237),AEM,12,0,0.14,12,0,,
2011-10-20,axgdgcwyco.com,Yahoo RTB (RTB),300x250,15454284,Buy Tag - name(Yahoo 300x250) size(300x250) site(1238),RTB,29,0.01,0.35,29,0,,
2011-10-20,AEM,CPX Interactive (AEM),160x600,7736639,Buy Tag - name(cpx_kenya_roam_160x600) size(160x600) site(494),AEM,75,0.02,0.27,75,0,,
2011-10-20,xhgaeukjpk.com,MediaMath (RTB),728x90,5695535,Buy Tag - name(MediaMath 728x90) size(728x90) site(1240),RTB,3,0,0.56,3,0,,
2011-10-20,axxiuzsydh.com,Adnetik (RTB),300x250,2738911,Buy Tag - name(Adnetik 300x250) size(300x250) site(1237),RTB,2,0,1.2,2,0,,
2011-10-20,itqmduyvkb.com,AppNexus (RTB),728x90,3313584,Buy Tag - name(AppNexus 728x90) size(728x90) site(1232),RTB,2,0,0.22,2,0,,
2011-10-20,gomez,MediaMath (RTB),300x250,1866944,Buy Tag - name(MediaMath 300x250) size(300x250) site(427),RTB,323,0.1,0.31,323,0,,
2011-10-20,xhgaeukjpk.com,RadiumOne (AEM),300x250,3286128,Buy Tag - name(aa_R1_UM_Seg1_1.12.11_300) size(300x250) site(1240),AEM,1,0,1.49,1,0,,
2011-10-20,gomez,Brandscreen (RTB),300x250,2920321,Buy Tag - name(Brandscreen 300x250) size(300x250) site(427),RTB,14,0,0.15,14,0,,
2011-10-20,dkchvzpvpi.com,Yahoo! Network (AEM),728x90,3085265,Buy Tag - name(yahoo_roam_12.23.10_728x90) size(728x90) site(1234),AEM,24,0,0.18,24,0,,
2011-10-20,wgrwijbosb.com,Yahoo RTB (RTB),728x90,15456897,Buy Tag - name(Yahoo 728x90) size(728x90) site(1248),RTB,4,0,0.16,4,0,,
2011-10-20,rfgkvfknom.com,DataXu (RTB),728x90,4668210,Buy Tag - name(DataXu 728x90) size(728x90) site(1250),RTB,1,0,0.18,1,0,,
2011-10-20,msposrxshb.com,RadiumOne (AEM),728x90,3283970,Buy Tag - name(aa_R1_UM_Seg1_1.12.11_728) size(728x90) site(1242),AEM,1,0,1.49,1,0,,
2011-10-20,msposrxshb.com,ValueClick RTB (RTB),300x250,10904674,Buy Tag - name(ValueClick RTB 300x250) size(300x250) site(1242),RTB,17,0,0.19,17,0,,
2011-10-20,AEM,Matomy Media (AEM),728x90,17321539,Buy Tag - name(aa_Matomy_Tier1_RevShare_728) size(728x90) site(494),AEM,3,0,0.03,3,0,,
2011-10-20,ktflbecrqr.com,ValueClick RTB (RTB),300x250,10903907,Buy Tag - name(ValueClick RTB 300x250) size(300x250) site(1241),RTB,8,0,0.19,8,0,,
2011-10-20,msposrxshb.com,LucidMedia (RTB),300x250,3259764,Buy Tag - name(Lucid 300x250) size(300x250) site(1242),RTB,2,0,0.16,2,0,,
2011-10-20,jeepknkhlv.com,Yahoo! Network (AEM),160x600,3084516,Buy Tag - name(yahoo_roam_12.23.10_160x600) size(160x600) site(1230),AEM,2,0,0.18,2,0,,
2011-10-20,axgdgcwyco.com,Quantcast (RTB),300x250,5696965,Buy Tag - name(Quantcast 300x250) size(300x250) site(1238),RTB,3,0,0.75,3,0,,
2011-10-20,axgdgcwyco.com,DataXu (RTB),300x250,4667222,Buy Tag - name(DataXu 300x250) size(300x250) site(1238),RTB,7,0,0.25,7,0,,
2011-10-20,wgrwijbosb.com,Yahoo! Network (AEM),300x250,3085590,Buy Tag - name(yahoo_roam_12.23.10_300x250) size(300x250) site(1248),AEM,10,0,0.1,10,0,,
2011-10-20,AEM,aCerno (AEM),160x600,10675159,Buy Tag - name(aa_Acerno_PixelFree_Feed1_07.14.11_160) size(160x600) site(494),AEM,21,0.03,1.49,21,0,,
2011-10-20,gomez,Invite Media (RTB),300x250,395591,Buy Tag - name(Invite 300x250) size(300x250) site(427),RTB,110,0.03,0.26,110,0,,
2011-10-20,axxiuzsydh.com,LucidMedia (RTB),300x250,3259751,Buy Tag - name(Lucid 300x250) size(300x250) site(1237),RTB,3,0,0.86,3,0,,
2011-10-20,jeepknkhlv.com,Adorika AEM (AEM),300x250,13460903,Buy Tag - name(aa_Adorika_RevShare_RON2_9.1.11_300) size(300x250) site(1230),AEM,2,0,0.02,2,0,,
2011-10-20,wgrwijbosb.com,Criteo (RTB),300x250,4285768,Buy Tag - name(Criteo US 300x250) size(300x250) site(1248),RTB,3,0.01,1.79,3,0,,
2011-10-20,AEM,DSNR (AEM),160x600,17896152,Buy Tag - name(aa_DSNR_WW_RevShare3_10.19.11_160) size(160x600) site(494),AEM,1475,0.04,0.03,1475,0,,
2011-10-20,ghhiegwcqz.com,Quantcast (RTB),300x250,5696952,Buy Tag - name(Quantcast 300x250) size(300x250) site(1239),RTB,3,0,0.74,3,0,,
2011-10-20,wgrwijbosb.com,ZAP Trader (RTB),728x90,17170328,Buy Tag - name(ZAP Trader 728x90) size(728x90) site(1248),RTB,1,0,0.48,1,0,,
2011-10-20,msposrxshb.com,Yahoo! Network (AEM),300x250,3085577,Buy Tag - name(yahoo_roam_12.23.10_300x250) size(300x250) site(1242),AEM,11,0,0.1,11,0,,
2011-10-20,wgsdbvujia.com,Yahoo RTB (RTB),728x90,15455224,Buy Tag - name(Yahoo 728x90) size(728x90) site(1243),RTB,6,0,0.21,6,0,,
2011-10-20,axxiuzsydh.com,Yahoo! Network (AEM),728x90,3085260,Buy Tag - name(yahoo_roam_12.23.10_728x90) size(728x90) site(1237),AEM,6,0,0.13,6,0,,
2011-10-20,jeepknkhlv.com,BurstDirect (AEM),728x90,4413405,Buy Tag - name(Burst_RON_USMulti_2.23.11_728x90) size(728x90) site(1230),AEM,2,0,0.1,2,0,,
2011-10-20,wgsdbvujia.com,LucidMedia (RTB),728x90,3259837,Buy Tag - name(Lucid 728x90) size(728x90) site(1243),RTB,1,0,0.31,1,0,,
2011-10-20,gomez,Rocket Fuel (RTB),300x250,11817789,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(427),RTB,23,0,0.18,23,0,,
2011-10-20,demo.com,Criteo - RETARGETING TEST,728x90,21134,CRITEO RETARGETING TEST,Fixed,0,0,0,1,0,,
2011-10-20,AEMdemo,aCerno (AEM),728x90,10672398,Buy Tag - name(aa_Acerno_PixelFree_Feed1_07.14.11_728) size(728x90) site(978),AEM,1,0,1.49,1,0,,
2011-10-20,msposrxshb.com,DataXu (RTB),300x250,4667230,Buy Tag - name(DataXu 300x250) size(300x250) site(1242),RTB,6,0,0.19,6,0,,
2011-10-20,AEM,CPX Interactive (AEM),160x600,10668862,Buy Tag - name(cpx_MiddleEast_roam_160x600) size(160x600) site(494),AEM,354,0.05,0.15,354,0,,
2011-10-20,AEM,CPX Interactive (AEM),728x90,11282046,Buy Tag - name(cpx_Philippines_roam_728x90) size(728x90) site(494),AEM,2,0,0.1,2,0,,
2011-10-20,itqmduyvkb.com,Banner Connect (AEM),300x250,16844382,Buy Tag - name(aa_BannerConnect_US_APNBackfill_300x250) size(300x250) site(1232),AEM,4,0,0.03,4,0,,
2011-10-20,wgrwijbosb.com,CPM Only (AEM),728x90,14990751,Buy Tag - name(aa_CPMonly_US_RON_9.20.11_728) size(728x90) site(1248),AEM,5,0,0.15,5,0,,
2011-10-20,axxiuzsydh.com,RadiumOne (RTB),300x250,11202447,Buy Tag - name(RadiumOne 300x250) size(300x250) site(1237),RTB,3,0,1.23,3,0,,
2011-10-20,axxiuzsydh.com,Dotomi (RTB),300x250,5697360,Buy Tag - name(Dotomi 300x250) size(300x250) site(1237),RTB,4,0,1.14,4,0,,
2011-10-20,xhgaeukjpk.com,Quantcast (RTB),728x90,5697168,Buy Tag - name(Quancast 728x90) size(728x90) site(1240),RTB,4,0,1.02,4,0,,
2011-10-20,xhgaeukjpk.com,DataXu (RTB),300x250,4667217,Buy Tag - name(DataXu 300x250) size(300x250) site(1240),RTB,5,0,0.5,5,0,,
2011-10-20,ghhiegwcqz.com,AppNexus (RTB),300x250,3313761,Buy Tag - name(AppNexus 300x250) size(300x250) site(1239),RTB,1,0,0.18,1,0,,
2011-10-20,jeepknkhlv.com,CPM Only (AEM),300x250,14937009,Buy Tag - name(aa_CPMonly_US_RON_9.20.11_300) size(300x250) site(1230),AEM,5,0,0.12,5,0,,
2011-10-20,allison_test,24/7 Real Media (test),300x250,7182483,24/7 Real Media allison_test 300x250 allison_tag4 Fixed,Fixed,0,0,0,9,0,,
2011-10-20,AEM,test account,300x250,11209987,DoubleVerify Test,Fixed,0,0,0,425906,0,,
2011-10-20,msposrxshb.com,AdBlade (AEM),300x250,15190259,Buy Tag - name(Adblade_HoverTarget_300x250) size(300x250) site(1242),AEM,1,0,0.1,1,0,,
2011-10-20,wgrwijbosb.com,Yahoo! Network (AEM),728x90,3085286,Buy Tag - name(yahoo_roam_12.23.10_728x90) size(728x90) site(1248),AEM,8,0,0.15,8,0,,
2011-10-20,axxiuzsydh.com,Yahoo RTB (RTB),728x90,15452342,Buy Tag - name(Yahoo 728x90) size(728x90) site(1237),RTB,8,0,0.51,8,0,,
2011-10-20,jeepknkhlv.com,MediaMath (RTB),300x250,5695335,Buy Tag - name(MediaMath 300x250) size(300x250) site(1230),RTB,7,0,0.21,7,0,,
2011-10-20,xhgaeukjpk.com,AppNexus (RTB),728x90,3313592,Buy Tag - name(AppNexus 728x90) size(728x90) site(1240),RTB,1,0,0.18,1,0,,
2011-10-20,axxiuzsydh.com,DSNR (AEM),300x250,10204216,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_300) size(300x250) site(1237),AEM,1,0,0.01,1,0,,
2011-10-20,wgrwijbosb.com,Quantcast (RTB),300x250,5697064,Buy Tag - name(Quantcast 300x250) size(300x250) site(1248),RTB,11,0.01,0.71,11,0,,
2011-10-20,dkchvzpvpi.com,Banner Connect (AEM),728x90,16848217,Buy Tag - name(aa_BannerConnect_US_APNBackfill_728x90) size(728x90) site(1234),AEM,1,0,0.05,1,0,,
2011-10-20,msposrxshb.com,Yahoo! Network (AEM),728x90,3085273,Buy Tag - name(yahoo_roam_12.23.10_728x90) size(728x90) site(1242),AEM,8,0,0.15,8,0,,
2011-10-20,wgsdbvujia.com,ValueClick RTB (RTB),300x250,10905433,Buy Tag - name(ValueClick RTB 300x250) size(300x250) site(1243),RTB,2,0,0.59,2,0,,
2011-10-20,msposrxshb.com,Rocket Fuel (RTB),300x250,11816905,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(1242),RTB,7,0,0.35,7,0,,
2011-10-20,dkchvzpvpi.com,Headway Digital (AEM),300x250,14910905,Buy Tag - name(aa_Headwaydigital_ROS_US_9.19.11_300x250) size(300x250) site(1234),AEM,3,0,0.07,3,0,,
2011-10-20,AEM,DSNR (AEM),160x600,10190826,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_160) size(160x600) site(494),AEM,62324,0.62,0.01,62324,0,,
2011-10-20,dkchvzpvpi.com,DSNR (AEM),300x250,10204411,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_300) size(300x250) site(1234),AEM,1,0,0.01,1,0,,
2011-10-20,AEM,DSNR (AEM),300x250,13412379,Buy Tag - name(aa_DSNR_IEIL_RevShare_9.1.11_300) size(300x250) site(494),AEM,15,0,0.1,15,0,,
2011-10-20,AEM,DSNR (AEM),300x250,9985516,Buy Tag - name(aa_DSNR_UK_RevShare_6.28.11_300) size(300x250) site(494),AEM,2,0,0.08,2,0,,
2011-10-20,xhgaeukjpk.com,Adnetik (RTB),728x90,2739004,Buy Tag - name(Adnetik 728x90) size(728x90) site(1240),RTB,3,0,1.23,3,0,,
2011-10-20,itqmduyvkb.com,The Trade Desk (RTB),728x90,2849933,Buy Tag - name(Trade Desk 728x90) size(728x90) site(1232),RTB,1,0,0.41,1,0,,
2011-10-20,xhgaeukjpk.com,ValueClick RTB (RTB),300x250,10903693,Buy Tag - name(ValueClick RTB 300x250) size(300x250) site(1240),RTB,11,0,0.21,11,0,,
2011-10-20,jeepknkhlv.com,ZAP Trader (RTB),728x90,17171149,Buy Tag - name(ZAP Trader 728x90) size(728x90) site(1230),RTB,1,0,0.37,1,0,,
2011-10-20,AEM,CPX Interactive (AEM),160x600,15133230,Buy Tag - name(cpx_norway roam_160) size(160x600) site(494),AEM,35,0.02,0.45,35,0,,
2011-10-20,jeepknkhlv.com,Rocket Fuel (RTB),728x90,11819439,Buy Tag - name(Rocket Fuel 728x90) size(728x90) site(1230),RTB,1,0,0.18,1,0,,
2011-10-20,dkchvzpvpi.com,AdBlade (AEM),728x90,16300175,Buy Tag - name(Adblade_HoverTarget_728x90) size(728x90) site(1234),AEM,1,0,0.14,1,0,,
2011-10-20,axgdgcwyco.com,AppNexus (RTB),300x250,3313760,Buy Tag - name(AppNexus 300x250) size(300x250) site(1238),RTB,3,0,0.13,3,0,,
2011-10-20,msposrxshb.com,MediaMath (RTB),300x250,5695360,Buy Tag - name(MediaMath 300x250) size(300x250) site(1242),RTB,6,0,0.25,6,0,,
2011-10-20,xhgaeukjpk.com,Dotomi (RTB),300x250,5697505,Buy Tag - name(Dotomi 300x250) size(300x250) site(1240),RTB,3,0,1.31,3,0,,
2011-10-20,gomez,Buysight (RTB),300x250,1166849,Buy Tag - name(Permuto 300x250) size(300x250) site(427),RTB,37,0.02,0.63,37,0,,
2011-10-20,AEMdemo,test account,300x250,11209986,AEMdemo 300x250 ros Fixed,Fixed,0,0,0,17235,0,,
2011-10-20,AEM,DSNR (AEM),728x90,9416259,Buy Tag - name(aa_DSNR_NL_RevShare_6.14.11_728) size(728x90) site(494),AEM,2,0,0.05,2,0,,
2011-10-20,gomez,TellApart (RTB),300x250,13052723,Buy Tag - name(TellApart 300x250) size(300x250) site(427),RTB,51,0.21,4.17,51,0,,
2011-10-20,rfgkvfknom.com,DSNR (AEM),300x250,10207348,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_300) size(300x250) site(1250),AEM,2,0,0.01,2,0,,
2011-10-20,AEM,test account,1x1,9735461,Skinected 1x1 ros Fixed,Fixed,0,0,0,32,0,,
2011-10-20,msposrxshb.com,DataXu (RTB),728x90,4668165,Buy Tag - name(DataXu 728x90) size(728x90) site(1242),RTB,2,0,0.25,2,0,,
2011-10-20,AEM,CPX Interactive (AEM),160x600,11279653,Buy Tag - name(cpx_Philippines_roam_160x600) size(160x600) site(494),AEM,80,0.01,0.1,80,0,,
2011-10-20,ghhiegwcqz.com,ValueClick RTB (RTB),728x90,10907541,Buy Tag - name(ValueClick RTB 728x90) size(728x90) site(1239),RTB,1,0,0.15,1,0,,
2011-10-20,rfgkvfknom.com,Rocket Fuel (RTB),300x250,11816085,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(1250),RTB,6,0,0.36,6,0,,
2011-10-20,jeepknkhlv.com,BurstDirect (AEM),300x250,4411896,Buy Tag - name(Burst_RON_USMulti_2.23.11_300x250) size(300x250) site(1230),AEM,1,0,0.07,1,0,,
2011-10-20,axgdgcwyco.com,Banner Connect (AEM),300x250,6346920,Buy Tag - name(aa_BannerConnect_United States_Test RT_300x250) size(300x250) site(1238),AEM,1,0,0.06,1,0,,
2011-10-20,AEM,DSNR (AEM),728x90,9987336,Buy Tag - name(aa_DSNR_UK_RevShare_6.28.11_728) size(728x90) site(494),AEM,2821,0.23,0.08,2821,0,,
2011-10-20,ktflbecrqr.com,MediaMath (RTB),728x90,5695464,Buy Tag - name(MediaMath 728x90) size(728x90) site(1241),RTB,3,0,0.3,3,0,,
2011-10-20,ktflbecrqr.com,Yahoo! Network (AEM),728x90,3085272,Buy Tag - name(yahoo_roam_12.23.10_728x90) size(728x90) site(1241),AEM,4,0,0.15,4,0,,
2011-10-20,dkchvzpvpi.com,Rocket Fuel (RTB),300x250,11817320,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(1234),RTB,9,0.01,0.59,9,0,,
2011-10-20,ghhiegwcqz.com,DataXu (RTB),728x90,4668282,Buy Tag - name(DataXu 728x90) size(728x90) site(1239),RTB,3,0,0.5,3,0,,
2011-10-20,AEM,DSNR (AEM),300x250,9383434,Buy Tag - name(aa_DSNR_DE_RevShare_6.14.11_300) size(300x250) site(494),AEM,22,0,0.08,22,0,,
2011-10-20,allison_test,DSNR (AEM),160x600,10189018,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_160) size(160x600) site(1980),AEM,13,0,0.01,13,0,,
2011-10-20,ktflbecrqr.com,AppNexus (RTB),300x250,3313771,Buy Tag - name(AppNexus 300x250) size(300x250) site(1241),RTB,3,0,0.18,3,0,,
2011-10-20,msposrxshb.com,AppNexus (RTB),300x250,3313772,Buy Tag - name(AppNexus 300x250) size(300x250) site(1242),RTB,4,0,0.29,4,0,,
2011-10-20,AEM,DSNR (AEM),160x600,17883756,Buy Tag - name(aa_DSNR_CYZA_RevShare_10.19.11_160) size(160x600) site(494),AEM,24,0,0.1,24,0,,
2011-10-20,AEM,aCerno (AEM),728x90,10672942,Buy Tag - name(aa_Acerno_PixelFree_Feed1_07.14.11_728) size(728x90) site(494),AEM,147,0.22,1.49,147,0,,
2011-10-20,jeepknkhlv.com,Dotomi (RTB),300x250,5697374,Buy Tag - name(Dotomi 300x250) size(300x250) site(1230),RTB,4,0,0.61,4,0,,
2011-10-20,axxiuzsydh.com,Rocket Fuel (RTB),728x90,11820686,Buy Tag - name(Rocket Fuel 728x90) size(728x90) site(1237),RTB,1,0,0.94,1,0,,
2011-10-20,wgrwijbosb.com,Headway Digital (AEM),300x250,14913646,Buy Tag - name(aa_Headwaydigital_ROS_US_9.19.11_300x250) size(300x250) site(1248),AEM,1,0,0.06,1,0,,
2011-10-20,axxiuzsydh.com,AppNexus (RTB),300x250,3313759,Buy Tag - name(AppNexus 300x250) size(300x250) site(1237),RTB,4,0,0.53,4,0,,
2011-10-20,axxiuzsydh.com,The Trade Desk (RTB),728x90,2849919,Buy Tag - name(Trade Desk 728x90) size(728x90) site(1237),RTB,1,0,0.18,1,0,,
2011-10-20,axxiuzsydh.com,ValueClick RTB (RTB),300x250,10904511,Buy Tag - name(ValueClick RTB 300x250) size(300x250) site(1237),RTB,15,0,0.25,15,0,,
2011-10-20,wgsdbvujia.com,Rocket Fuel (RTB),300x250,11817423,Buy Tag - name(Rocket Fuel 300x250) size(300x250) site(1243),RTB,2,0,0.24,2,0,,
2011-10-20,demo.com,Dotomi,300x250,5168,Dotomi 300x250 ROS,Rev Share,0,0,0,8,3,,
2011-10-20,AEM,DSNR (AEM),728x90,17897120,Buy Tag - name(aa_DSNR_WW_RevShare3_10.19.11_728) size(728x90) site(494),AEM,5234,0.16,0.03,5234,0,,
2011-10-20,AEMdemo,DSNR (AEM),728x90,17898992,Buy Tag - name(aa_DSNR_WW_RevShare3_10.19.11_728) size(728x90) site(978),AEM,1063,0.03,0.03,1063,0,,
2011-10-20,wgsdbvujia.com,MediaMath (RTB),728x90,5695632,Buy Tag - name(MediaMath 728x90) size(728x90) site(1243),RTB,1,0,0.33,1,0,,
2011-10-20,rfgkvfknom.com,Rocket Fuel (RTB),728x90,11819984,Buy Tag - name(Rocket Fuel 728x90) size(728x90) site(1250),RTB,3,0,0.17,3,0,,
2011-10-20,wgsdbvujia.com,Yahoo RTB (RTB),300x250,15457345,Buy Tag - name(Yahoo 300x250) size(300x250) site(1243),RTB,7,0,0.19,7,0,,
2011-10-20,AEM,DSNR (AEM),728x90,10198611,Buy Tag - name(aa_DSNR_WW_RevShare_7.5.11_728) size(728x90) site(494),AEM,161350,1.61,0.01,161350,0,,
2011-10-20,AEM,Darriens network (AEM),300x250,13093763,Buy Tag - name(Darriens_DE_Channel_300) size(300x250) site(494),AEM,48,0,0.08,48,0,,
2011-10-20,itqmduyvkb.com,AppNexus (RTB),160x600,3313668,Buy Tag - name(AppNexus 160x600) size(160x600) site(1232),RTB,1,0,0.18,1,0,,
